DATE,PRCP_happycamp,TMAX_happycamp,TMIN_happycamp,TOBS_happycamp,PRCP_orleans,PRCP_salmonriver,PRCP_cavejunction,discharge_IndianCreek,gage_ht_IndianCreek,discharge_IndianCreek_daily_change,discharge_SalmonRiver,gage_ht_SalmonRiver,discharge_SalmonRiver_daily_change,discharge_SuckerCreek,gage_ht_SuckerCreek,discharge_SuckerCreek_daily_change,year,month,day
2015-04-17,0.0,86.0,33.0,37.0,,0.0,,245.90625,4.72125,-1.5416666666666572,10359.375,,-152.08333333333394,134.15625,1.7038541666666667,-4.104166666666657,2015,04,17
2015-04-18,,,,,,0.0,,244.57291666666666,4.716458333333334,-1.3333333333333428,10756.25,,396.875,129.05208333333334,1.6879166666666665,-5.104166666666657,2015,04,18
2015-04-19,,,,,,0.0,,236.33333333333334,4.685833333333334,-8.239583333333314,11591.666666666666,,835.4166666666661,124.13541666666667,1.6747916666666667,-4.916666666666671,2015,04,19
2015-04-20,,,,,,0.0,,222.20833333333334,4.6319791666666665,-14.125,12636.458333333334,,1044.7916666666679,116.96875,1.6598958333333333,-7.166666666666671,2015,04,20
2015-04-21,0.0,90.0,37.0,41.0,,0.0,,208.03125,4.576666666666667,-14.177083333333343,14055.208333333334,,1418.75,113.25,1.6475,-3.71875,2015,04,21
2015-04-22,0.0,79.0,40.0,48.0,,0.0,,197.14583333333334,4.531458333333333,-10.885416666666657,16014.583333333334,,1959.375,110.1875,1.6372916666666664,-3.0625,2015,04,22
2015-04-23,,,,,,0.0,,190.26041666666666,4.501979166666667,-6.885416666666686,17758.333333333332,,1743.7499999999982,109.53125,1.6351041666666666,-0.65625,2015,04,23
2015-04-24,0.0,76.0,34.0,36.0,,1.3,,187.89583333333334,4.492291666666667,-2.3645833333333144,19259.375,,1501.0416666666679,114.34375,1.6511458333333333,4.8125,2015,04,24
2015-04-25,,,,,,0.0,,180.84375,4.4615625,-7.052083333333343,19887.5,,628.125,109.28125,1.6342708333333331,-5.0625,2015,04,25
2015-04-26,,,,,,0.0,,172.82291666666666,4.4259375,-8.020833333333343,18959.375,,-928.125,103.171875,1.6188541666666667,-6.109375,2015,04,26
2015-04-27,,,,,,0.0,,166.97916666666666,4.399895833333333,-5.84375,17586.458333333332,,-1372.9166666666679,98.10520833333334,1.6069791666666668,-5.066666666666663,2015,04,27
2015-04-28,0.0,91.0,35.0,45.0,,0.0,,161.51041666666666,4.374583333333333,-5.46875,16598.958333333332,,-987.5,95.09895833333333,1.5962500000000002,-3.0062500000000085,2015,04,28
2015-04-29,0.0,82.0,38.0,39.0,,0.0,,155.47916666666666,4.347395833333334,-6.03125,17103.125,,504.1666666666679,92.81458333333335,1.5878125,-2.284374999999983,2015,04,29
2015-04-30,0.0,78.0,34.0,37.0,,0.0,,149.89583333333334,4.3194791666666665,-5.583333333333314,18309.375,,1206.25,89.37291666666665,1.5748958333333334,-3.4416666666666913,2015,04,30
2015-05-01,0.0,86.0,37.0,40.0,,0.0,,144.8125,4.2940625,-5.083333333333343,19731.25,,1421.875,87.07708333333333,1.5660416666666668,-2.29583333333332,2015,05,01
2015-05-02,,,,,,0.0,,140.22916666666666,4.271145833333334,-4.583333333333343,21125.0,,1393.75,85.359375,1.5593750000000002,-1.7177083333333343,2015,05,02
2015-05-03,,,,,,0.0,,136.77083333333334,4.253854166666667,-3.4583333333333144,22772.916666666668,,1647.9166666666679,82.3625,1.5558333333333334,-2.996875000000003,2015,05,03
2015-05-04,0.0,,,36.0,,0.0,,131.9375,4.2296875,-4.833333333333343,24028.125,,1255.2083333333321,79.75,1.5464583333333335,-2.612499999999997,2015,05,04
2015-05-05,,,,,,0.0,,128.29166666666666,4.210729166666667,-3.645833333333343,25589.583333333332,,1561.4583333333321,78.45,1.5410416666666666,-1.2999999999999972,2015,05,05
2015-05-06,,,,,,0.0,,126.67708333333333,4.2022916666666665,-1.6145833333333286,26651.041666666668,,1061.4583333333358,77.7,1.5379166666666668,-0.75,2015,05,06
2015-05-07,0.0,73.0,34.0,39.0,,0.0,,125.28125,4.1940625,-1.3958333333333286,26182.291666666668,,-468.75,77.42604166666666,1.5367708333333334,-0.27395833333333997,2015,05,07
2015-05-08,,,,,,0.0,,122.3125,4.176666666666667,-2.96875,24586.458333333332,,-1595.8333333333358,76.04791666666667,1.5309375,-1.3781249999999972,2015,05,08
2015-05-09,,,,,,0.0,,118.79166666666667,4.1580208333333335,-3.5208333333333286,23431.25,,-1155.2083333333321,73.234375,1.5210416666666668,-2.8135416666666657,2015,05,09
2015-05-10,,,,,,0.0,,115.53125,4.141041666666667,-3.2604166666666714,22792.708333333332,,-638.5416666666679,70.08645833333334,1.5148958333333333,-3.14791666666666,2015,05,10
2015-05-11,,,,,,0.0,,113.55208333333333,4.12875,-1.9791666666666714,22354.166666666668,,-438.54166666666424,71.20625,1.5198958333333332,1.1197916666666572,2015,05,11
2015-05-12,0.03,63.0,36.0,37.0,,0.0,,117.29166666666667,4.151041666666667,3.739583333333343,21884.375,,-469.7916666666679,76.30729166666667,1.5419791666666667,5.101041666666674,2015,05,12
2015-05-13,0.23,64.0,37.0,38.0,,0.0,,117.52083333333333,4.1521875,0.2291666666666572,23868.75,,1984.375,76.73854166666666,1.5436458333333334,0.4312499999999915,2015,05,13
2015-05-14,0.44,68.0,38.0,43.0,,3.6,,130.35416666666666,4.22,12.833333333333329,25081.25,,1212.5,78.71354166666667,1.5520833333333333,1.9750000000000085,2015,05,14
2015-05-15,0.0,68.0,39.0,41.0,,0.8,,120.71875,4.169270833333333,-9.635416666666657,24306.25,,-775.0,75.13645833333334,1.5369791666666668,-3.5770833333333343,2015,05,15
2015-05-16,,,,,,0.0,,113.76041666666667,4.131770833333333,-6.958333333333329,27062.5,,2756.25,69.58854166666667,1.5185416666666667,-5.547916666666666,2015,05,16
2015-05-17,,,,,,0.0,,111.72916666666667,4.1184375,-2.03125,29895.833333333332,,2833.333333333332,68.01979166666668,1.5152083333333335,-1.5687499999999943,2015,05,17
2015-05-18,,,,47.0,,2.3,,114.44791666666667,4.1346875,2.71875,29277.083333333332,,-618.75,73.196875,1.5363541666666667,5.177083333333329,2015,05,18
2015-05-19,,,,,,9.4,,114.04166666666667,4.131770833333333,-0.40625,28279.166666666668,,-997.9166666666642,93.04375,1.6155208333333333,19.846874999999997,2015,05,19
2015-05-20,0.0,76.0,48.0,52.0,,0.5,,113.19791666666667,4.124583333333333,-0.84375,28136.458333333332,,-142.70833333333576,77.07708333333333,1.5548958333333334,-15.966666666666669,2015,05,20
2015-05-21,0.47,69.0,51.0,52.0,,2.0,,128.79166666666666,4.212291666666666,15.593749999999986,27721.875,,-414.5833333333321,94.16250000000001,1.6214583333333332,17.085416666666674,2015,05,21
2015-05-22,,,,,,1.8,,119.52083333333333,4.162083333333333,-9.270833333333329,28202.083333333332,,480.2083333333321,96.38437499999999,1.6295833333333334,2.221874999999983,2015,05,22
2015-05-23,,,,,,0.0,,109.97916666666667,4.108020833333334,-9.541666666666657,28714.583333333332,,512.5,78.06770833333333,1.5690625,-18.316666666666663,2015,05,23
2015-05-24,,,,,,0.0,,104.58854166666667,4.076458333333333,-5.390625,29119.791666666668,,405.20833333333576,72.00833333333334,1.5434375000000002,-6.059374999999989,2015,05,24
2015-05-25,0.0,,,,,0.0,,100.25833333333333,4.0512500000000005,-4.330208333333346,28100.0,,-1019.7916666666679,68.87395833333333,1.5292708333333334,-3.1343750000000057,2015,05,25
2015-05-26,0.0,,,56.0,,0.0,,96.49062500000001,4.0271875,-3.7677083333333172,27338.541666666668,,-761.4583333333321,65.89375,1.5152083333333335,-2.980208333333337,2015,05,26
2015-05-27,,,,,,0.0,,92.55624999999999,4.0021875,-3.934375000000017,26844.791666666668,,-493.75,63.93020833333333,1.5058333333333334,-1.9635416666666643,2015,05,27
2015-05-28,,,,,,0.0,,90.58125,3.989270833333333,-1.9749999999999943,26376.041666666668,,-468.75,62.04479166666667,1.4966666666666668,-1.8854166666666643,2015,05,28
2015-05-29,,,,,,0.0,,87.99687499999999,3.9723958333333336,-2.5843750000000085,24982.291666666668,,-1393.75,59.856249999999996,1.4890625,-2.188541666666673,2015,05,29
